timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2025-03-25T11:09:31,codecarbon,dd650de1-4e9d-4528-ae63-14e1bd484b68,11.7305326461792,9.228808525188794e-05,7.867339705324249e-06,52.5,0.0,23.50766515731812,0.0001710683519641,0,7.659580442492285e-05,0.000247664156389,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-25T11:11:26,codecarbon,0e6f4a3e-07c5-4cc0-9fab-f354bbfac82e,4.73485803604126,3.724947665198312e-05,7.867073599344241e-06,52.5,0.0,23.50766515731812,6.90480833252271e-05,0,3.091455200054327e-05,9.996263532577036e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68710708618164,machine,N,1.0
2025-03-25T11:17:55,codecarbon,3d82e0cb-41a6-484a-8bb6-f73dcce0d87c,5.736724615097046,4.513156125817205e-05,7.867130511965245e-06,52.5,0.0,23.507658004760746,8.365844984849293e-05,0,3.74565349842707e-05,0.0001211149848327,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:27:01,codecarbon,90fb1bbb-ebe9-4245-aa6d-9bffb90f1454,4.403412103652954,3.464178195172411e-05,7.867031551052469e-06,52.5,0.0,23.507658004760746,6.421429514884949e-05,0,2.87503348949042e-05,9.296463004375369e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:28:51,codecarbon,bd27cffc-c3e0-4710-a14f-2dd7cb81c786,4.33911657333374,3.4135847028671064e-05,7.867003905461916e-06,52.5,0.0,23.507658004760746,6.32764329512914e-05,0,2.833047095085135e-05,9.160690390214275e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:32:59,codecarbon,d8debbc8-01e4-4fee-9b8c-01cb49c18a99,4.381110906600952,3.446615038114154e-05,7.866988787983414e-06,52.5,0.0,23.507658004760746,6.388876338799795e-05,0,2.8604542056866267e-05,9.249330544486422e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:36:14,codecarbon,e33be664-286b-486d-b6fb-fc124f0071a7,4.82447075843811,3.795451940777851e-05,7.867084558735315e-06,52.5,0.0,23.507658004760746,7.035473734140395e-05,0,3.149994958404704e-05,0.0001018546869254,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:37:49,codecarbon,eff0f27e-94fb-4fd2-a5dc-8aa52589df98,4.740347862243652,3.729251895345618e-05,7.867042680662106e-06,52.5,0.0,23.507658004760746,6.912787904342016e-05,0,3.095026453300117e-05,0.0001000781435764,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T11:41:21,codecarbon,5a2d7d07-e7f6-4f35-83bd-9d445303d7b8,5.264826774597168,4.141898265704159e-05,7.867112144484699e-06,52.5,0.0,23.507658004760746,7.677658200263978e-05,0,3.437533289788348e-05,0.0001111519149005,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T12:17:41,codecarbon,3d7e35f8-e2f5-4ad4-b246-0cca1bbbdffb,0.7385025024414062,5.782165111787968e-06,7.829580932593703e-06,52.5,0.0,23.507658004760746,1.072505215803782e-05,0,4.791956788510182e-06,1.5517008946548e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T14:09:21,codecarbon,4e29b4e4-2dd8-498f-bbb4-5d8a53bcc012,8741.810061693192,0.0687746241900996,7.867320807102825e-06,52.5,0.0,23.507658004760746,0.1274832555875183,0,0.0570802147079985,0.1845634702955169,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T14:56:46,codecarbon,3aa2ce29-4a86-4b56-ad75-9acde99df595,136.12015199661255,0.0010708989545513,7.867306485067327e-06,52.5,0.0,23.507658004760746,0.001985062508285,0,0.0008888001949339,0.0028738627032189,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T14:59:09,codecarbon,02f84be2-73a9-4cf0-8f71-37c203d78e13,132.70265817642212,0.0010440170805494,7.867341128626794e-06,52.5,0.0,23.507658004760746,0.0019352245643734,0,0.0008664979852313,0.0028017225496048,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-25T16:22:10,codecarbon,0f67b5f5-bed3-4414-bbb6-0d2c99a7bbf2,4478.734601974487,0.0352353659251204,7.867259182892121e-06,52.5,0.0,23.507658004760746,0.0653138315866391,0,0.0292437394485334,0.0945575710351725,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68708801269531,machine,N,1.0
2025-03-31T11:01:34,codecarbon,d82a0144-313a-4ab1-bb46-6bfd309d5eb0,1.2164907455444336,9.554671986298627e-06,7.854290730360213e-06,52.5,0.0,23.507659435272217,1.7719152073065438e-05,0,7.92175022328602e-06,2.5640902296351457e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68709182739258,machine,N,1.0
2025-03-31T17:08:58,codecarbon,76801684-e3de-4682-8d0a-417a7d969736,0.2676587104797363,2.098481647378884e-06,7.840139570341964e-06,52.5,0.0,23.507659435272217,3.893561661243439e-06,0,1.7379202952578035e-06,5.631481956501242e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68709182739258,machine,N,1.0
2025-03-31T17:32:42,codecarbon,346d5b31-0e42-4022-890f-555b8b05bfe9,0.3530402183532715,2.7714270031189942e-06,7.850173603580067e-06,52.5,0.0,23.507659435272217,5.140926937262217e-06,0,2.2964700880199496e-06,7.437397025282166e-06,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68709182739258,machine,N,1.0
2025-03-31T18:47:44,codecarbon,4772ba69-a06f-46ab-bac7-a8216147d67a,1.0055232048034668,7.858932156486597e-06,7.81576409071798e-06,52.5,0.0,23.507659435272217,1.4602080980936687e-05,0,6.4881366494636455e-06,2.109021763040033e-05,Italy,ITA,emilia-romagna,,,Linux-6.12.10-76061203-generic-x86_64-with-glibc2.35,3.10.12,2.3.5,32,AMD Ryzen 9 5950X 16-Core Processor,,,10.9231,44.6534,62.68709182739258,machine,N,1.0
